,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
69,Concord,Concord,CA,California,6013,Contra Costa,37.9722,-122.0016,667250,1633.0,shape,False,True,America/Los_Angeles,2,94518 94519 94565 94521 94520,1840018905
70,Cape Coral,Cape Coral,FL,Florida,12071,Lee,26.6443,-81.9957,649339,690.0,shape,False,True,America/New_York,2,33990 33993 33914 33991 33909 33904,1840015130
71,Charleston,Charleston,SC,South Carolina,45019,Charleston,32.8168,-79.9687,645413,461.0,shape,False,True,America/New_York,2,29414 29424 29425 29455 29405 29407 29401 29403 29409 29492 29412,1840015163
72,Colorado Springs,Colorado Springs,CO,Colorado,8041,El Paso,38.8674,-104.7605,621332,932.0,shape,False,True,America/Denver,2,80951 80909 80904 80905 80906 80907 80903 80938 80910 80917 80916 80915 80914 80919 80918 80927 80924 80925 80922 80923 80920 80921 80929,1840018825
73,Springfield,Springfield,MA,Massachusetts,25013,Hampden,42.1155,-72.5395,615728,1861.0,shape,False,True,America/New_York,2,01151 01144 01118 01119 01129 01128 01107 01105 01104 01103 01109 01108,1840000466
74,Grand Rapids,Grand Rapids,MI,Michigan,26081,Kent,42.9619,-85.6562,615273,1719.0,shape,False,True,America/Detroit,2,49546 49506 49505 49503 49507 49504 49508,1840002928
75,Ogden,Ogden,UT,Utah,49057,Weber,41.2279,-111.9682,615015,1221.0,shape,False,True,America/Denver,2,84404 84401 84403 84408,1840020135
76,Columbia,Columbia,SC,South Carolina,45079,Richland,34.0378,-80.9036,609689,378.0,shape,False,True,America/New_York,2,29203 29207 29205 29208 29209 29225 29212 29210 29201 29206 29204,1840014730
77,Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.442,-91.1311,605449,993.0,shape,False,True,America/Chicago,2,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816,1840013941
78,Knoxville,Knoxville,TN,Tennessee,47093,Knox,35.9692,-83.9496,603685,733.0,shape,False,True,America/New_York,2,37909 37902 37924 37920 37921 37922 37923 37929 37919 37918 37915 37914 37917 37916 37912,1840014486
79,Mission Viejo,Mission Viejo,CA,California,6059,Orange,33.6096,-117.6551,600802,2091.0,shape,False,True,America/Los_Angeles,2,92692 92691,1840020580
80,Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,590823,1747.0,shape,False,True,America/New_York,2,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222,1840000417
